Occupation Title,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge)
digital forensics expert,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.","information forensics expert, cyber forensics expert, digital forensics specialist, digital forensics experts, digital forensic expert, forensics expert, computer forensics investigator, digital forensics analyst, computer forensics expert","manage data for legal matters, gather data for forensic purposes, secure sensitive customer's information, perform forensic preservations of digital devices, provide consulting advice, use software for data preservation, implement network diagnostic tools, develop information security strategy, educate on data confidentiality, manage IT security compliances, use scripting programming, perform security vulnerability assessments, identify security risks","security standards, computer forensics, network security risks, query languages, penetration testing tool, resource description framework query language, information confidentiality","design computer network, perform data mining, use different communication channels","cloud technologies, security legislation, hardware architectures, LINQ, Nessus, hardware platforms, information security strategy, SPARQL, information architecture, MDX, data storage, encryption, N1QL, XQuery, WhiteHat Sentinel, LDAP, legal requirements of products, Nexpose"
digital games developer,"Digital games developers program, implement and document digital games. They implement technical standards in gameplay, graphics, sound and functionality.","digital game developer, computer games developer, virtual games developer, video games developer, games programmer, digital games developers","use software design patterns, debug software, execute analytical mathematical calculations, interpret technical texts, render 3D images, apply 3D imaging techniques, use software libraries, utilise computer-aided software engineering tools, develop software prototype, analyse software specifications","debugging tools, tools for software configuration management, digital game genres, 3D texturing, integrated development environment software, 3D lighting, computer programming","develop creative ideas, use logic programming, adapt to changes in technological development plans, use object-oriented programming, provide technical documentation, create flowchart diagram, use automatic programming, use concurrent programming, design user interface, develop virtual game engine, use functional programming, integrate system components","Perl, Common Lisp, COBOL, trigonometry, Ansible, Java (computer programming), Scala, STAF, Prolog (computer programming), C#, Microsoft Visual C++, Jenkins (tools for software configuration management), Apache Maven, Assembly (computer programming), TypeScript, Scratch (computer programming), C++, APL, Pascal (computer programming), PHP, Puppet (tools for software configuration management), Swift (computer programming), World Wide Web Consortium standards, MATLAB, JavaScript, Xcode, ML (computer programming), KDevelop, VBScript, Python (computer programming), AJAX, Ruby (computer programming), Haskell, SAP R3, Salt (tools for software configuration management), Eclipse (integrated development environment software), Groovy, Objective-C, object-oriented modelling, Lisp, SAS language, software anomalies, ABAP, Internet of Things, Visual Studio .NET, R, ASP.NET, OpenEdge Advanced Business Language"
digital games tester,Digital games testers review and test various genres of digital games by playing them in order to find bugs and glitches within the game's functionality or graphics. They may evaluate the capacity of attraction and playability of games. They may also debug the games themselves.,"digital game tester, virtual games tester, digital games testers, computer games tester, video games tester","address problems critically, execute software tests, report test findings, provide software testing documentation, replicate customer software issues","software anomalies, levels of software testing, digital game genres, application usability","perform software recovery testing, manage schedule of tasks, measure software usability, use scripting programming, debug software, conduct code review, develop test suite, develop automated software tests","Agile project management, human-computer interaction, SPARQL, software interaction design, XQuery, LDAP, LINQ, MDX, tools for test automation, Lean project management, Process-based management, principles of animation, resource description framework query language, query languages, N1QL, debugging tools, project management methodologies"
disaster recovery analyst,"disaster recovery analysts develop, maintain, and implement continuity and disaster recovery strategies and solutions. They support the technical teams, assess the risks, design and develop procedures, documentation and strategies for disaster recovery in order for business functions to continue and recover with a minimal loss of data. They also coordinate the system backups tests and validations.","resilience analysts, business continuity strategist, business continuity analyst, IT resilience analyst, IT disaster recovery analyst, disaster recovery officer","identify security risks, apply company policies, report analysis results, optimise choice of solution, manage system security, implement recovery system, define security policies, conduct impact evaluation of processes on business, develop information security strategy, manage disaster recovery plans, perform backups, manage IT security compliances, maintain plan for continuity of operations, build business relationships","problem management techniques, recovery techniques, product usage risks analysis, debugging tools, system backup best practice, performance analysis methods","manage staff, give live presentation","power consumption, iOS, process quality models, cyber security, Windows Phone, software anomalies, levels of software testing, mobile operating systems, cyber attack counter-measures, internal risk management policy, information security strategy, organisational resilience, network management system tools, unstructured data, network security risks, infrastructure, communications protocols, hardware architectures, BlackBerry, Android (mobile operating systems)"
embedded system designer,Embedded system designers translate and design requirements and the high-level plan or architecture of an embedded control system according to technical software specifications.,"embedded software developer, embedded systems designers, embedded systems developer, embedded systems programmer, embedded system programmer, embedded system developer","define technical requirements, analyse software specifications, interpret electronic design specifications, provide consulting advice, create flowchart diagram, create software design, develop creative ideas","signal processing, systems development life-cycle, engineering control theory, tools for software configuration management, communications protocols, embedded systems, task algorithmisation, real-time computing","verify formal specifications, provide technical documentation, build business relationships, utilise computer-aided software engineering tools, collect customer feedback on applications","Jenkins (tools for software configuration management), Salt (tools for software configuration management), system integration, hardware architectures, engineering processes, JavaScript, MATLAB, Scala, Apache Maven, Visual Studio .NET, Lisp, AJAX, ML (computer programming), ASP.NET, C#, VBScript, ABAP, Smalltalk (computer programming), Swift (computer programming), STAF, PHP, network simulation, Common Lisp, Ruby (computer programming), Assembly (computer programming), Ansible, field-programmable gate arrays, TypeScript, tools for test automation, software components libraries, R, security standards, SAS language, Puppet (tools for software configuration management), C++, Groovy, Pascal (computer programming), Haskell, SAP R3, Microsoft Visual C++, Java (computer programming), CoffeeScript, Erlang, OpenEdge Advanced Business Language, Scratch (computer programming), COBOL, Objective-C, Prolog (computer programming), Perl, APL, Python (computer programming), network management system tools, computer programming, hardware components"
embedded systems security engineer,"Embedded systems security engineers advise and implement solutions to control access to data and programs in embedded and connected systems. They help ensuring the safe operation of products with embedded systems and connected devices by being responsible for the protection and security of the related systems and design, plan and execute security measures accordingly. Embedded systems security engineers help to keep attackers at bay by implementing safeguards that prevent intrusions and breaches.","cybersecurity engineer, cyber security engineer, embedded systems security expert, internet of thing security engineer, IoT security engineer","analyse system, create flowchart diagram, define security policies, define technical requirements, develop device driver, develop software prototype, execute software tests, identify security risks, identify system weaknesses, interpret technical texts, keep up with the latest information systems solutions, manage IT security compliances, monitor system performance, perform security testing, perform risk analysis, provide consulting advice, report test findings, use software design patterns, use software libraries, utilise computer-aided software engineering tools","network security risks, security standards, Internet of Things, computer programming, cyber attack counter-measures, digital systems, embedded systems, information security strategy, safety engineering, security engineering, software anomalies","debug software, design user interface, develop creative ideas, integrate system components, perform project management","encryption, safety, cloud technologies, ethical hacking principles, organisational resilience"
embedded systems software developer,"Embedded systems software developers program, implement, document and maintain software to be run on an embedded system.","embedded systems designer, embedded systems software developers, embedded software developerl embedded systems engineer, embedded system software programmer, embedded system software developer, embedded software programmer","debug software, develop software prototype, provide technical documentation, use software libraries, develop device driver, utilise computer-aided software engineering tools, create flowchart diagram, interpret technical texts, analyse software specifications, use software design patterns","embedded systems, Internet of Things, debugging tools, integrated development environment software, computer programming, tools for software configuration management","design user interface, use object-oriented programming, develop creative ideas, use logic programming, develop automated migration methods, use functional programming, use concurrent programming, use automatic programming, integrate system components, collect customer feedback on applications, adapt to changes in technological development plans","ASP.NET, APL, Salt (tools for software configuration management), Visual Studio .NET, Ansible, Eclipse (integrated development environment software), Ruby (computer programming), C#, Perl, MATLAB, Scala, Groovy, Microsoft Visual C++, Objective-C, software anomalies, ML (computer programming), Haskell, R, Prolog (computer programming), JavaScript, COBOL, VBScript, Xcode, security legislation, AJAX, Java (computer programming), Lisp, Assembly (computer programming), Puppet (tools for software configuration management), C++, Jenkins (tools for software configuration management), object-oriented modelling, Python (computer programming), Common Lisp, Swift (computer programming), PHP, Pascal (computer programming), KDevelop, Apache Maven, STAF, World Wide Web Consortium standards, Scratch (computer programming), ABAP, SAS language, SAP R3, OpenEdge Advanced Business Language, TypeScript"
enterprise architect,"Enterprise architects balance technological opportunities with business requirements. They also maintain a holistic view of the organisation's strategy, processes, information and assets and link the business mission, strategy and processes to the strategy.","enterprise developer, enterprise architects, enterprise architecture manager, enterprise designer","design information system, review development process of an organisation, keep up with the latest information systems solutions, execute feasibility study, align software with system architectures, manage data architecture, design enterprise architecture, apply system usage policies, perform project management, collect customer feedback on applications, provide consulting advice, define software architecture, perform risk analysis","architectural frameworks, information architecture, project management methodologies, legal requirements of products, business strategy concepts, market, object-oriented modelling","optimise choice of solution, coordinate technological activities, apply conflmanagement, build business relationships, monitor technology trends, manage staff, use different communication channels, apply information security policies, provide cost benefit analysis reports, analyse business requirements","Lean project management, emergent technologies, Waterfall development, Scratch (computer programming), JavaScript, ML (computer programming), Spiral development, APL, Visual Studio .NET, COBOL, Groovy, software architecture models, Process-based management, unified modelling language, PHP, CoffeeScript, Lisp, Ruby (computer programming), business process modelling, Objective-C, C#, MATLAB, DevOps, ABAP, Scala, business requirements techniques, Smalltalk (computer programming), R, Python (computer programming), Swift (computer programming), Pascal (computer programming), Agile development, AJAX, Microsoft Visual C++, OpenEdge Advanced Business Language, Perl, Assembly (computer programming), Iterative development, Common Lisp, software design methodologies, Java (computer programming), SAP R3, Prolog (computer programming), SAS language, VBScript, Agile project management, TypeScript, C++, Erlang, computer programming, Haskell, ASP.NET, Incremental development, Rapid application development, Prototyping development"
ethical hacker,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.","vulnerability analyst, ethical hackers, security tester, system security tester, network security tester","address problems critically, provide technical documentation, monitor system performance, execute software tests, develop code exploits, execute audits, perform security vulnerability assessments, analyse the context of an organisation, identify system weaknesses, identify security risks","software anomalies, computer forensics, penetration testing tool, cyber attack counter-measures, tools for test automation, legal requirements of products, web application security threats","maintain server, define security policies, solve system problems, perform project management, manage IT security compliances","network security risks, SaaS (service-oriented modelling), information confidentiality, Hybrid model, levels of software testing, organisational resilience, Internet of Things, information security strategy, security legislation, cyber security, service-oriented modelling, Outsourcing model, security standards, Open source model, encryption, Nexpose, internet governance, WhiteHat Sentinel, Nessus, proxy servers"
green consultant,"Green consultants advise organisations on their green strategy and its implementation in the most effective and efficient manner to allow the organisation to reach their short, mid, and long term environmental objectives.","green IT consultant, sustainability systems consultant, IT environmental consultant, environmental consultant, green consultants","promote environmental awareness, provide consulting advice, manage environmental impact of operations, optimise choice of solution, apply business acumen, report on environmental issues, create project specifications, consult with business clients, define technical requirements, ensure compliance with environmental legislation",environmental policies,"track key performance indicators, advise on environmental remediation","legal requirements of products, software components suppliers, sales methodologies, hardware components suppliers, emergent technologies, power consumption, copyright legislation, market"
help desk agent,"help desk agents provide technical assistance to computer users, answer questions or solve computer problems for clients via telephone or electronically. They provide assistance concerning the use of computer hardware and software.","IT help desk advisor, service desk agent, help desk advisor, IT help desk agent, help desk agents, helpdesk agents, helpdesk agent","guarantee customer satisfaction, assist customers, provide customer follow-up services, communicate with customers, keep task records, identify customer's needs, use customer relationship management software, create solutions to problems, manage schedule of tasks, support system users, provide support, solve system problems, prioritise requests, use ticketing system, keep up to date on product knowledge","characteristics of services, product comprehension, system user requirements, characteristics of products","handle helpdesk problems, educate on data confidentiality, perform escalation procedure, answer incoming calls, perform data analysis","help platforms, information confidentiality, infrastructure"
help desk manager,help desk managers monitor the delivery of technical support services to clients according to the predefined deadlines.  They plan and organise the user support actions and troubleshoot problems and issues. help desk managers supervise the help desk team ensuring that the customers get the appropriate feedback and support. They also participate in developing customer service guidelines and in reinforcing the team.,"help desk managers, IT helpdesk manager, service desk manager, software support manager, helpdesk manager, IT help desk manager, helpdesk managers, technical support manager","keep up to date on product knowledge, manage staff, communicate with customers, use ticketing system, supervise data entry, secure sensitive customer's information, forecast workload, create solutions to problems, educate on data confidentiality, analyse staff capacity, provide support","characteristics of services, product comprehension, organisational structure, characteristics of products","use customer relationship management software, provide customer follow-up services, perform project management, coach employees, train employees, manage schedule of tasks, prioritise requests","call quality assurance management, market, process quality models, help platforms, quality policy"
industrial mobile devices software developer,"Industrial mobile devices software developers implement applications software for specific, professional industrial mobile (handheld) devices, based on the industry needs, using general or specific development tools for device operating systems.","handheld software developer, industrial mobile devices software programmer, industrial mobile devices software coder, handheld programmer","debug software, develop software prototype, create flowchart diagram, analyse software specifications, use different communication channels, design application interfaces, use software design patterns, utilise computer-aided software engineering tools, use software libraries, interpret technical texts, provide technical documentation","embedded systems, tools for software configuration management, computer programming, debugging tools, Internet of Things, industrial software, mobile operating systems, integrated development environment software","develop creative ideas, integrate system components, use concurrent programming, use functional programming, design user interface, use logic programming, adapt to changes in technological development plans, use automatic programming, identify customer requirements, collect customer feedback on applications, migrate existing data, use object-oriented programming","Puppet (tools for software configuration management), Eclipse (integrated development environment software), Windows Phone, Android (mobile operating systems), security legislation, ABAP, Haskell, JavaScript, iOS, Scala, Ansible, Pascal (computer programming), STAF, OpenEdge Advanced Business Language, Python (computer programming), Salt (tools for software configuration management), AJAX, Xcode, Prolog (computer programming), Common Lisp, KDevelop, software anomalies, COBOL, Microsoft Visual C++, SAP R3, Ruby (computer programming), APL, World Wide Web Consortium standards, Java (computer programming), C#, object-oriented modelling, mobile device software frameworks, SAS language, Apache Maven, Smalltalk (computer programming), C++, Scratch (computer programming), PHP, BlackBerry, Objective-C, Groovy, R, ML (computer programming), Erlang, ASP.NET, TypeScript, Assembly (computer programming), Lisp, Swift (computer programming), Visual Studio .NET, VBScript, CoffeeScript, Perl, Jenkins (tools for software configuration management), MATLAB"
integration engineer,Integration engineers develop and implement solutions which coordinate applications across the enterprise or its units and departments. They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet organisational needs. They reuse components when possible and assist management in taking decisions. They perform system integration troubleshooting.,"software integration engineer, integration engineers, IT integration engineer, system integration engineer","integrate system components, define integration strategy, apply system usage policies, analyse network bandwidth requirements, provide technical documentation, use scripting programming, apply company policies, manage system deployment, design component interfaces","system user requirements, communications protocols, software components suppliers, procurement of network equipment, hardware components suppliers, project management methodologies","design computer network, adapt to changing situations, communicate with customers, utilise computer-aided software engineering tools, perform project management","system integration, SAP R3, Cisco, AJAX, tools for software configuration management, PHP, STAF, embedded systems, Ansible, solution deployment, Apache Maven, Ruby (computer programming), ASP.NET, Vagrant, debugging tools, Jenkins (tools for software configuration management), Python (computer programming), Lean project management, Scala, OpenEdge Advanced Business Language, ABAP, system programming, information security strategy, C#, Java (computer programming), Groovy, hardware components, Pascal (computer programming), Lisp, Agile project management, Swift (computer programming), Objective-C, interfacing techniques, systems development life-cycle, Common Lisp, infrastructure, Scratch (computer programming), JavaScript, recovery techniques, Prolog (computer programming), MATLAB, information architecture, ML (computer programming), tools for test automation, Perl, network routing, Assembly (computer programming), C++, Salt (tools for software configuration management), APL, Microsoft Visual C++, computer programming, Visual Studio .NET, engineering processes, R, SAS language, COBOL, software components libraries, Process-based management, Haskell, Puppet (tools for software configuration management)"
integration tester,"integration testers perform testsÂ in groups of system components, units or even applications. They group them in larger aggregates and apply integration test plans on them. They oversee the complexity of relations between different components.","compatibility tester, IT compatibility tester, module integration tester, integration testers, compatibility tester, module compatibility tester","execute software tests, execute integration testing, replicate customer software issues, address problems critically, integrate system components, report test findings, manage system testing, provide software testing documentation","levels of software testing, software anomalies","perform software recovery testing, use scripting programming, conduct code review, debug software, manage schedule of tasks, develop test suite, develop automated software tests","query languages, SPARQL, MDX, tools for test automation, LDAP, performance analysis methods, LINQ, XQuery, N1QL, network simulation, Lean project management, debugging tools, resource description framework query language, Process-based management, Agile project management, project management methodologies, infrastructure"
intelligent systems designer,"intelligent systems designers apply methods of artificial intelligence in engineering, robotics and computer science to design programs which simulate intelligence including thinking models, cognitive and knowledge-based systems, problem solving, and decision making. They also integrate structured knowledge into computer systems (ontologies, knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods.","AI system designer, linked data engineer, intelligent systems developer, semantic technologies engineer, designer of intelligent systems, machine learning systems designer, intelligent systems engineer, intelligent system designer, intelligent systems designers, artificial intelligence designer","analyse business requirements, develop creative ideas, define technical requirements, assess knowledge, design process, use markup languages, apply systems theory, manage database, design application interfaces, manage semantic integration, design database scheme","information structure, natural language processing, systems theory, web programming, task algorithmisation, principles of artificial intelligence, resource description framework query language, security legislation, systems development life-cycle, business process modelling, database development tools","manage business knowledge, deliver visual presentation of data, build business relationships, manage data classification","information categorisation, R, Haskell, computer programming, information architecture, Groovy, information extraction, Swift (computer programming), COBOL, Prolog (computer programming), N1QL, Perl, Scratch (computer programming), LINQ, Lisp, SAS language, VBScript, visual presentation techniques, Scala, project management methodologies, TypeScript, Ruby (computer programming), Java (computer programming), data models, Lean project management, Process-based management, Python (computer programming), SAP R3, C++, Objective-C, Visual Studio .NET, Smalltalk (computer programming), PHP, Pascal (computer programming), Agile project management, ASP.NET, Erlang, ABAP, ML (computer programming), Common Lisp, MATLAB, APL, JavaScript, AJAX, SPARQL, CoffeeScript, unstructured data, business intelligence, C#, OpenEdge Advanced Business Language, Assembly (computer programming), data mining, Microsoft Visual C++"
IoT developer,"IoT developers analyse and gather data for interpreting the pattern and predicting the result. They use artificial intelligence for managing the tasks and autonomous decisions, employing machine learning algorithms to create smarter devices through data sensors. IoT developers create software for connecting objects to systems and devices, or for programming these objects to make them function on their own.",IoT software developer,"analyse big data, design information system, develop workflow, perform dimensionality reduction, use data processing techniques, utilise machine learning","software specifications, system programming, Internet of Things, algorithms, computer science, computer technology, digital data processing, hardware testing methods, machine learning, mechatronics, principles of artificial intelligence, task algorithmisation","establish data processes, perform online data analysis","architectural frameworks, mobile device software frameworks"
IT auditor,"IT auditors perform audits of information systems, platforms, and operating procedures in accordance with established corporate standards for efficiency, accuracy and security. They evaluate infrastructure in terms of risk to the organisation and establish controls to mitigate loss. They determine and recommend improvements in the current risk management controls and in the implementation of system changes or upgrades.","auditor, IT Quality Appraiser, information technology auditor","prepare financial auditing reports, analyse system, execute audits, perform quality audits, perform security vulnerability assessments, develop audit plan, ensure adherence to organisational standards, improve business processes","organisational resilience, legal requirements of products, security legislation, quality policy, engineering processes, audit techniques, systems development life-cycle, process quality models, product life-cycle, quality standards, security standards","monitor technology trends, apply information security policies, define organisational standards, identify legal requirements, identify security risks, develop documentation in accordance with legal requirements, communicate analytical insights, inform on safety standards, develop workflow, manage IT security compliances","cyber security, accessibility standards, cloud technologies, network security risks, information security strategy, World Wide Web Consortium standards, project management"
knowledge engineer,"Knowledge engineers integrate structured knowledge into computer systems (knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods. They are also responsible for eliciting or extracting knowledge from information sources, maintaining this knowledge, and making it available to the organisation or users. To achieve this, they are aware of knowledge representation and maintenance techniques (rules, frames, semantic nets, ontologies) and use knowledge extraction techniques and tools. They can design and build expert or artificial intelligence systems that use this knowledge.","taxonomist, knowledge engineers, linked data engineer, knowledge officer, information engineer","define technical requirements, manage semantic integration, create semantic trees, manage database, apply systems theory, manage business knowledge, use markup languages, analyse business requirements, assess knowledge","business process modelling, business intelligence, web programming, principles of artificial intelligence, database development tools, information extraction, resource description framework query language, natural language processing, systems theory, task algorithmisation, systems development life-cycle, information structure","design database scheme, create database diagrams, define database physical structure, design application interfaces, utilise decision support system, build business relationships","ASP.NET, Scratch (computer programming), Smalltalk (computer programming), Prolog (computer programming), JavaScript, ABAP, R, MATLAB, SAP R3, information categorisation, project management, Scala, C#, visual presentation techniques, OpenEdge Advanced Business Language, Ruby (computer programming), Objective-C, Visual Studio .NET, cloud technologies, computer programming, unstructured data, information architecture, PHP, TypeScript, Python (computer programming), security legislation, N1QL, CoffeeScript, Erlang, LINQ, Groovy, Swift (computer programming), AJAX, decision support systems, Assembly (computer programming), cognitive psychology, Lisp, SAS language, Perl, data mining, APL, Java (computer programming), Common Lisp, SPARQL, Microsoft Visual C++, ML (computer programming), COBOL, Pascal (computer programming), C++, VBScript, Haskell"
mobile application developer,"Mobile app developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems.","app developer, mobile app specialist, mobile app developer, mobile application developers, app programmer, app coder","utilise computer-aided software engineering tools, collect customer feedback on applications, use software design patterns, develop automated migration methods, use software libraries, migrate existing data, develop software prototype, debug software, analyse software specifications, interpret technical texts, create flowchart diagram","computer programming, mobile operating systems, Internet of Things, debugging tools, tools for software configuration management, integrated development environment software","identify customer requirements, use concurrent programming, design user interface, integrate system components, use functional programming, use object-oriented programming, use logic programming, develop creative ideas, use automatic programming, adapt to changes in technological development plans","Xcode, VBScript, Python (computer programming), Eclipse (integrated development environment software), COBOL, Puppet (tools for software configuration management), TypeScript, Android (mobile operating systems), ABAP, BlackBerry, JavaScript, Visual Studio .NET, Salt (tools for software configuration management), CoffeeScript, Common Lisp, Lisp, Perl, APL, C#, Smalltalk (computer programming), Prolog (computer programming), Microsoft Visual C++, KDevelop, C++, R, OpenEdge Advanced Business Language, MATLAB, Scala, software anomalies, PHP, mobile device software frameworks, security legislation, Scratch (computer programming), Jenkins (tools for software configuration management), iOS, Haskell, Java (computer programming), Ruby (computer programming), AJAX, Groovy, Swift (computer programming), STAF, Pascal (computer programming), SAP R3, Ansible, Assembly (computer programming), SAS language, Apache Maven, object-oriented modelling, World Wide Web Consortium standards, Windows Phone, Erlang, ASP.NET, ML (computer programming), Objective-C"
network administrator,"network administrators maintain operation of a reliable, secure, and efficient data communications network, including LAN, WAN, intranet, and internet. They perform network address assignment, management and implementation of routing protocols such as ISIS, OSPF, BGP, routing table configurations and certain implementations of authentication. They perform maintenance and administration of servers (file servers, VPN gateways, intrusion detection systems), desktop computers, printers, routers, switches, firewalls, phones, IP communications, personal digital assistants, smartphones, software deployment, security updates and patches as well as a vast array of additional technologies inclusive of both hardware and software.","network administrators, network support, network manager, network specialist, networks administrator","apply system usage policies, provide technical documentation, perform backups, manage email hosting service, maintain internet protocol configuration, analyse network bandwidth requirements, install electronic communication equipment, interpret technical texts, adjust system capacity, define firewall rules, design computer network, integrate system components, implement network diagnostic tools, manage virtualisation machines, forecast future network needs","network security risks, cloud technologies, solution deployment, network management system tools, security legislation, procurement of network equipment, network routing, computer programming, system programming, performance analysis methods, internet governance, quality assurance methodologies","acquire system component, maintain server, optimise choice of solution, apply system organisational policies, execute audits, utilise computer-aided software engineering tools, prepare licence agreements, install signal repeaters, provide technical training, provide system training","C++, BlackBerry, system user requirements, Perl, ABAP, proxy servers, VBScript, Microsoft Visual C++, R, Objective-C, Ruby (computer programming), Prolog (computer programming), ML (computer programming), Assembly (computer programming), Lisp, organisational policies, C#, COBOL, Groovy, OpenEdge Advanced Business Language, Python (computer programming), ASP.NET, Android (mobile operating systems), PHP, Erlang, Common Lisp, MATLAB, Cisco, CoffeeScript, mobile operating systems, SAS language, Smalltalk (computer programming), iOS, AJAX, SAP R3, Windows Phone, TypeScript, Pascal (computer programming), Haskell, Scala, Swift (computer programming), Visual Studio .NET, Java (computer programming), Scratch (computer programming), APL, JavaScript"
network architect,"network architects design the topology and connectivity of network such as hardware, infrastructure, communication and hardware components.","network designer, network architects","design process, provide technical documentation, assess knowledge, develop creative ideas, define technical requirements, maintain internet protocol configuration, design hardware placement, implement network diagnostic tools, analyse network bandwidth requirements, define network design policies, analyse business requirements, identify suppliers, design computer network, adjust system capacity, maintain information network hardware, forecast future network needs","security legislation, network routing, business process modelling, network security risks, networking hardware","manage staff, monitor communication channels' performance, perform resource planning, provide cost benefit analysis reports, perform troubleshooting, build business relationships, apply technical communication skills","project management methodologies, network simulation, Cisco, legal requirements of products, internet governance, Lean project management, procurement of network equipment, organisational resilience, Agile project management, Process-based management, security standards, network management system tools"
network engineer,"network engineers implement, maintain and support computer networks. They also perform network modelling, analysis, and planning. They may also design network and computer security measures. They may research and recommend network and data communications hardware and software.","network configurator, networks engineer, networks developer, network developer, networks designer, network engineers","forecast future network needs, debug software, migrate existing data, analyse software specifications, develop automated migration methods, implement network diagnostic tools, use software design patterns, provide technical documentation, apply information security policies, design computer network, collect customer feedback on applications","computer programming, information security strategy, network routing, cloud technologies, debugging tools, mobile operating systems, performance analysis methods","install electronic communication equipment, create flowchart diagram, use object-oriented programming, use functional programming, use automatic programming, develop software prototype, use concurrent programming, adapt to changes in technological development plans, create solutions to problems, use logic programming, develop creative ideas","R, C++, SAP R3, AJAX, Python (computer programming), Objective-C, Ansible, ML (computer programming), Common Lisp, Erlang, Microsoft Visual C++, Scala, STAF, OpenEdge Advanced Business Language, Assembly (computer programming), Eclipse (integrated development environment software), Vagrant, CoffeeScript, Visual Studio .NET, Jenkins (tools for software configuration management), Haskell, Ruby (computer programming), Prolog (computer programming), Groovy, SAS language, COBOL, MATLAB, Scratch (computer programming), problem management techniques, ABAP, APL, Windows Phone, tools for software configuration management, iOS, PHP, Smalltalk (computer programming), Lisp, JavaScript, Android (mobile operating systems), C#, ASP.NET, Java (computer programming), integrated development environment software, Puppet (tools for software configuration management), Apache Maven, network management system tools, Xcode, Salt (tools for software configuration management), Swift (computer programming), Internet of Things, BlackBerry, TypeScript, KDevelop, Pascal (computer programming), VBScript"
network technician,"network technicians install, maintain and troubleshoot networks, data communications equipment and network installed devices such as printers and storage area networks. They also analyse and fix network-related problems reported by users.","network technician, network engineer, network maintenance professional, networks technician, network technicians, IT network technician, assistant network administrator, system engineer","adjust system capacity, provide technical documentation, analyse network bandwidth requirements, maintain internet protocol configuration, use precision tools, implement network diagnostic tools, identify suppliers, install signal repeaters, create solutions to problems, install electronic communication equipment","network cable limitations, networking hardware, network routing, network security risks","solder electronics, perform security vulnerability assessments, migrate existing data","concepts of telecommunications, system programming, debugging tools, communications protocols, network management system tools, Cisco, procurement of network equipment, security legislation, electronics principles"
numerical tool and process control programmer,"Numerical tool and process control programmers develop computer programs to control automatic machines and equipment involved in manufacturing processes. They analyse blueprints and job orders, conduct computer simulations and trial runs.","numerical process control operator, numerical tool programmer, numerical process control tool setting operator, numerical tool maker, numerical tool setting operator, numerical process control  set up operator, numerical process control programmer, numerical tool machine set up operator, numerical tool machine operator, numerical process control supervisor, numerical tool l programme setter, numerical tool setter","use measurement instruments, read standard blueprints, set up the controller of a machine, apply control process statistical methods, use a computer, troubleshoot, program a CNC controller, use CAD software, ensure equipment availability","TypeScript, computer programming, Assembly (computer programming), Java (computer programming), Pascal (computer programming), C++, Microsoft Visual C++, APL, Common Lisp, ASP.NET, CAD software, Scratch (computer programming), Smalltalk (computer programming), Scala, ABAP, Objective-C, COBOL, R, Visual Studio .NET, AJAX, MATLAB, ML (computer programming), CoffeeScript, C#, quality and cycle time optimisation, Prolog (computer programming), JavaScript, Erlang, Perl, Ruby (computer programming), system programming, Groovy, SAP R3, Haskell, Lisp, blueprints, OpenEdge Advanced Business Language, SAS language, Swift (computer programming), VBScript, Python (computer programming), PHP, statistical process control","perform data analysis, tend lathe, use computer-aided engineering systems, provide technical documentation, use CAM software, use technical documentation, advise client on technical possibilities, advise on safety improvements","mathematics, 3D modelling, engineering principles, mechanics, engineering processes, manufacturing processes, electrical engineering, lathe machine parts"
quality assurance manager,"quality assurance managers establish and operate an quality approach through quality management systems, in compliance with internal and external standards and the organisation's culture. They ensure that the management controls are correctly implemented to safeguard asset, data integrity and operations. They focus on the achievement of quality goals, including the maintenance of the external certification according to quality standards and monitor statistics to forecast quality outcomes.","quality manager, test manager, IT quality assurance manager, quality assurance managers, principal test manager, principal testing manager","comply with legal regulations, oversee quality control, perform quality audits, provide software testing documentation, execute software tests, set quality assurance objectives, implement strategic planning, ensure continuous preparedness for audits, attend to systems quality","quality assurance methodologies, quality standards, quality policy, software anomalies, internal risk management policy, process quality models, levels of software testing","identify customer requirements, provide technical training, manage data, develop technological improvement strategies, apply information security policies, use different communication channels, develop information standards, develop automated software tests, define data quality criteria, track key performance indicators, coordinate technological activities","database quality standards, Lean project management, Agile project management, data quality assessment, project management methodologies, usability engineering, security legislation, Process-based management, systems development life-cycle, application usability"
